"作答ID","用户ID","开始时间","结束时间","作答总时长(秒)","作答渠道","发布ID","问卷发布名称","IP","经度","纬度","省份","城市","设备类型","操作系统类型","浏览器类型","屏幕分辨率","随机元素","您好。感谢您参与本次学术研究。本研究旨在了解用户对数字游戏产品说明的看法。您将阅读一个游戏产品说明，并根据自己的真实想法回答若干问题。本问卷仅用于学术研究，所有数据将匿名处理，不涉及对错。整份问卷大约需要3至5分钟。","作答时长(毫秒)","您通常玩数字游戏的频率是？","作答时长(毫秒)","请想象您正在浏览一个数字游戏平台，并看到以下一款新上线的付费叙事角色扮演游戏。请仔细阅读该产品页面，并根据您的第一印象回答后续问题。游戏名称：永恒回响游戏类型：付费叙事角色扮演游戏价格：68元游戏简介：进入一个充满古代遗迹、隐秘势力和分支剧情的奇幻世界。探索不断展开的地图，与独特角色互动，做出有意义的选择，并揭开影响你旅程走向的秘密游戏特色：分支剧情与角色关系系统世界探索与任务系统多重对话选项沉浸式奇幻世界观","作答时长(毫秒)","请想象您正在浏览一个数字游戏平台，并看到以下一款新上线的付费叙事角色扮演游戏。请仔细阅读该产品页面，并根据您的第一印象回答后续问题。游戏名称：永恒回响游戏类型：付费叙事角色扮演游戏价格：68元游戏简介：进入一个充满古代遗迹、隐秘势力和分支剧情的奇幻世界。探索不断展开的地图，与独特角色互动，做出有意义的选择，并揭开影响你旅程走向的秘密。游戏特色：分支剧情与角色关系系统世界探索与任务系统多重对话选项沉浸式奇幻世界观说明：本游戏使用生成式人工智能，在游戏开发阶段预先生成了部分对话、剧情事件和世界内容；玩家游玩时，人工智能不会继续参与这些内容的生成。","作答时长(毫秒)","请想象您正在浏览一个数字游戏平台，并看到以下一款新上线的付费叙事角色扮演游戏。请仔细阅读该产品页面，并根据您的第一印象回答后续问题。游戏名称：永恒回响游戏类型：付费叙事角色扮演游戏价格：68元游戏简介：进入一个充满古代遗迹、隐秘势力和分支剧情的奇幻世界。探索不断展开的地图，与独特角色互动，做出有意义的选择，并揭开影响你旅程走向的秘密。游戏特色：分支剧情与角色关系系统世界探索与任务系统多重对话选项沉浸式奇幻世界观说明：本游戏使用生成式人工智能，在玩家游玩过程中实时生成部分对话、游戏事件和世界内容。","作答时长(毫秒)","该产品页面表明，这款游戏使用了生成式人工智能。","作答时长(毫秒)","该产品页面表明，生成式人工智能主要是在游戏开发阶段预先生成了部分游戏内容。","作答时长(毫秒)","该产品页面表明，生成式人工智能主要是在玩家游玩过程中实时生成游戏内容。","作答时长(毫秒)","我觉得这款游戏体现了大量的人类创作努力。","作答时长(毫秒)","我觉得这款游戏的制作投入了大量的人类努力。","作答时长(毫秒)","我觉得这款游戏是经过人类精心打磨而成的。","作答时长(毫秒)","我觉得这款游戏凝聚了相当多的人类劳动。","作答时长(毫秒)","我觉得这款游戏给人一种新颖的感觉。","作答时长(毫秒)","我觉得这款游戏是一种新鲜而令人兴奋的游戏产品。","作答时长(毫秒)","我觉得这款游戏代表了一种新颖的数字游戏形式。","作答时长(毫秒)","我会考虑购买这款游戏。","作答时长(毫秒)","我购买这款游戏的意愿较高。","作答时长(毫秒)","我购买这款游戏的可能性较高。","作答时长(毫秒)","如果这款游戏现在可以购买，我会有兴趣购买它。","作答时长(毫秒)","您最多愿意为这款游戏支付多少钱？请填写金额（单位：元）","作答时长(毫秒)","我通常愿意尝试使用新技术的产品。","作答时长(毫秒)","我通常对技术创新持积极态度。","作答时长(毫秒)","我对融入人工智能的产品感兴趣。","作答时长(毫秒)","我通常喜欢叙事型角色扮演游戏。","作答时长(毫秒)","我对这种类型的游戏比较熟悉。","作答时长(毫秒)","这种类型的游戏符合我的个人兴趣。","作答时长(毫秒)","我对生成式人工智能技术比较熟悉。","作答时长(毫秒)","我了解生成式人工智能在数字产品中的典型用途。","作答时长(毫秒)","为确保您认真作答","作答时长(毫秒)","您的性别是？","作答时长(毫秒)","您的年龄是？","作答时长(毫秒)","您的最高学历是？","作答时长(毫秒)","您平均每周玩数字游戏的时长约为？","作答时长(毫秒)"
"WPdqJ5o2Ym4","leNn94qe","2026-04-27 22:59:52","2026-04-27 23:03:25","213","数据集市","ABJV7z","数字游戏产品评价研究","183.95.245.208","112.2367960","31.0482720","湖北省","荆门市","MOBILE","Android","Chrome","361px*801px","块 3","1","1000","4","1192","","","1","1000","","","7","40804","7","7478","1","17544","6","1458","7","1140","6","2623","5","353","6","7927","7","4500","6","714","7","1803","5","2828","7","2417","6","981","200","89961","7","1316","5","4215","7","491","7","3361","6","1032","7","1453","5","724","7","2620","1","846","1","1573","3","2415","3","1010","3","7592"
"bNpO9Kkawqd","eNQGOEbL","2026-04-27 22:53:50","2026-04-27 23:01:01","431","数据集市","ABJV7z","数字游戏产品评价研究","210.79.155.139","106.6179192","26.6448354","贵州省","贵阳市","COMPUTER","Windows","Chrome","1920px*1080px","块 3","1","1000","4","160422","","","1","1000","","","6","220200","5","560","6","656","6","1136","6","584","5","1944","6","879","6","609","6","1064","6","1264","6","1384","7","760","6","1023","6","1024","100","7872","6","2089","6","1191","6","745","5","1272","6","495","5","1137","6","895","6","609","1","1408","1","15255","4","1145","4","1408","3","1224"
"WPdq5NKrXKB","ev9OqRXL","2026-04-27 22:54:59","2026-04-27 23:00:31","332","数据集市","ABJV7z","数字游戏产品评价研究","36.157.231.134","112.9119164","28.2350769","湖南省","长沙市","MOBILE","iOS","Apple WebKit","414px*736px","块 3","1","1000","3","7593","","","1","1000","","","7","36601","7","30391","1","115565","6","16383","6","45550","5","651","6","1288","5","7488","5","8832","6","620","6","896","6","1921","6","2350","7","3597","68","3623","5","5554","6","1683","7","1750","6","2607","7","1747","6","2601","6","1865","7","2059","1","970","2","7253","3","1645","1","1988","2","4855"
"nNPXDEjz3A0","kM158dQM","2026-04-27 22:56:42","2026-04-27 22:59:48","186","数据集市","ABJV7z","数字游戏产品评价研究","117.9.222.241","117.2647362","39.0617114","天津市","市辖区","COMPUTER","Windows","Chrome","1280px*800px","块 2","1","1000","3","3834","1","1000","","","","","4","24674","4","17933","5","8866","6","1274","7","1590","6","990","6","842","7","966","6","488","6","854","7","1538","6","901","6","518","7","973","68","4209","6","1179","7","2330","6","1350","7","1357","7","510","7","957","6","1053","6","555","1","1922","2","2805","2","706","3","2024","4","3796"
"WPdq5zyyrWB","MRD0wqdL","2026-04-27 22:56:03","2026-04-27 22:59:30","207","数据集市","ABJV7z","数字游戏产品评价研究","223.90.221.254","113.7603050","34.2226630","河南省","许昌市","MOBILE","Android","Chrome","361px*801px","块 4","1","1000","5","10142","","","","","1","1000","5","32713","3","41084","6","5813","5","10090","5","5146","5","4954","6","6769","6","5471","5","4198","7","5424","7","2891","6","2585","7","3651","6","2614","50","18432","5","3590","5","2910","6","2527","5","3925","5","2884","7","4145","6","4424","5","5192","1","2613","2","3454","6","1368","1","1587","2","5996"
"oBDrVY8mDDN","BMDZjNQL","2026-04-27 22:55:25","2026-04-27 22:59:19","234","数据集市","ABJV7z","数字游戏产品评价研究","223.104.80.155","113.2642300","23.1962790","广东省","佛山市","MOBILE","Android","Chrome","362px*782px","块 4","1","1000","4","5529","","","","","1","1000","7","35598","1","952","7","6544","5","2452","6","15312","6","955","5","29632","7","443","5","9628","7","1629","6","11845","5","5205","5","4161","6","1644","68","33256","7","1843","7","5078","6","1807","5","12906","5","17487","6","2385","5","2149","6","3301","1","3171","2","1771","3","669","3","1001","3","5538"
"vNrgoGVx0YW","ebqyqQdL","2026-04-27 22:55:53","2026-04-27 22:59:11","198","数据集市","ABJV7z","数字游戏产品评价研究","39.144.168.23","115.8803200","28.6882140","江西省","南昌市","MOBILE","Android","Chrome","371px*805px","块 2","1","1000","5","3876","1","1000","","","","","7","10208","6","969","6","4972","7","15515","6","425","7","962","7","1040","7","1729","6","1406","7","1408","7","6946","6","3451","7","592","6","1250","70","72227","7","1335","6","6498","6","1569","6","1030","7","2780","7","1523","5","5743","6","4942","1","18829","1","17101","2","342","3","874","4","5050"
"gnzAWvvgXq5","qM66qYVM","2026-04-27 22:55:48","2026-04-27 22:59:07","199","数据集市","ABJV7z","数字游戏产品评价研究","58.249.112.93","113.2872210","23.0990990","广东省","广州市","MOBILE","Android","Chrome","360px*800px","块 4","1","1000","4","4530","","","","","1","1000","7","18200","2","33253","7","2323","4","88937","4","2372","4","1330","4","1274","3","1638","3","1920","4","1809","3","1349","2","1346","2","3890","2","5803","2","2513","6","2290","6","2532","4","2051","4","1356","5","1637","4","1684","6","1893","5","2860","1","1315","2","1657","3","426","4","1402","3","2534"
"mnZ30vKpNXp","MWWJgkyM","2026-04-27 22:55:33","2026-04-27 22:59:04","211","数据集市","ABJV7z","数字游戏产品评价研究","118.248.215.85","112.9673043","28.1905347","湖南省","长沙市","MOBILE","iOS","Apple WebKit","414px*896px","块 2","1","1000","2","2469","1","1000","","","","","5","27905","6","3223","5","8586","3","2016","4","8170","2","13180","2","2712","6","983","7","3310","6","642","7","6018","7","524","6","986","6","824","70","4927","5","2326","6","1640","6","1347","5","6585","7","1680","6","1250","5","769","6","865","1","2948","1","5594","4","2081","4","2917","2","3366"
"mnZ30bwKaVK","en951dWL","2026-04-27 22:54:40","2026-04-27 22:58:51","251","数据集市","ABJV7z","数字游戏产品评价研究","218.26.157.166","113.1578520","40.0400300","山西省","太原市","MOBILE","Android","Chrome","360px*800px","块 3","1","1000","4","7301","","","1","1000","","","7","23985","4","58558","4","6505","7","2876","6","5058","6","3677","7","3941","4","3944","6","2981","4","6739","6","8551","5","11715","6","6053","5","18101","68","9437","5","8846","7","3309","6","4388","7","4473","5","2748","6","8327","5","2052","6","11464","1","9409","2","5491","2","747","3","1443","3","5576"
"WPdq5l0rr8E","xLVNrkLY","2026-04-27 22:55:36","2026-04-27 22:58:46","190","数据集市","ABJV7z","数字游戏产品评价研究","115.223.150.33","121.1102203","28.2456987","浙江省","温州市","MOBILE","iOS","WeChat","390px*844px","块 3","1","1000","5","2804","","","1","1000","","","6","39724","7","4374","1","64239","5","12619","5","8169","6","9042","6","935","7","1952","6","790","5","2697","6","2982","7","584","7","916","6","1919","800","4152","6","3467","7","888","7","713","6","817","6","4150","5","1664","6","2371","7","2265","1","636","1","6960","3","974","3","1039","5","5615"
"XOngJqzQqaw","ebq5KynL","2026-04-27 22:55:12","2026-04-27 22:58:38","206","数据集市","ABJV7z","数字游戏产品评价研究","117.154.4.16","114.1554750","30.5104070","湖北省","武汉市","MOBILE","Android","Chrome","362px*795px","块 3","1","1000","4","12216","","","1","1000","","","6","92531","6","2759","2","6759","5","6043","6","3883","7","3479","6","2253","6","3208","7","2581","6","2486","6","1436","7","1734","7","2027","7","2540","80","5423","5","9005","6","1517","6","1890","7","1898","6","1539","6","3204","5","7785","5","8114","1","1355","2","3348","3","2124","5","1530","4","10351"
"lxo1V8gZREg","7aQ649b7","2026-04-27 22:54:12","2026-04-27 22:58:24","252","数据集市","ABJV7z","数字游戏产品评价研究","183.42.172.227","113.0379205","23.6898793","广东省","佛山市","MOBILE","iOS","Apple WebKit","440px*956px","块 4","1","1000","2","5085","","","","","1","1000","6","68011","3","74597","6","5844","6","2300","6","3683","6","15752","6","2784","7","984","6","5417","5","1199","6","4467","6","4588","6","5064","6","3416","70","8786","6","7265","6","1415","5","1366","6","2633","6","4034","6","417","5","1250","6","9333","1","519","2","2181","3","2583","3","1233","4","4419"
"vNrgoXRd2vX","Lz9oo037","2026-04-27 22:53:30","2026-04-27 22:58:19","289","数据集市","ABJV7z","数字游戏产品评价研究","106.88.221.252","107.7793890","30.6600590","重庆市","市辖区","MOBILE","Android","Chrome","400px*890px","块 4","1","1000","2","3267","","","","","1","1000","5","17030","3","18227","5","513","4","2112","4","4526","4","628","5","475","6","3409","4","2394","5","1534","5","4025","4","2689","3","1653","4","1868","20","5400","4","3907","5","1482","4","1271","6","1893","5","416","4","1545","3","5700","4","1209","1","1484","1","192556","2","503","3","985","2","5337"
"mnZ30x1ZYqp","8MZnXDvM","2026-04-27 22:55:39","2026-04-27 22:58:15","156","数据集市","ABJV7z","数字游戏产品评价研究","106.42.252.64","115.1908340","32.3835750","河南省","信阳市","MOBILE","Android","Chrome","360px*792px","块 2","1","1000","5","5411","1","1000","","","","","1","74191","1","3012","2","1445","6","9730","5","1734","6","1914","5","2504","5","7620","5","532","6","2455","6","1932","6","1028","5","990","5","2191","68","5951","5","1468","5","6618","6","1591","5","2392","5","1136","6","2381","5","1065","5","1160","1","3414","1","2387","2","646","3","984","5","7420"
"WPdq50Qz39B","37KDGy6L","2026-04-27 22:53:48","2026-04-27 22:58:15","267","数据集市","ABJV7z","数字游戏产品评价研究","39.171.166.72","120.8551490","29.5486830","浙江省","绍兴市","MOBILE","Android","WeChat","370px*822px","块 4","1","1000","2","1480","","","","","1","1000","7","13843","2","2191","6","1378","3","5011","4","1161","2","2396","1","1371","7","2770","4","1254","6","1834","7","3446","6","9486","4","5008","4","1650","20","5042","5","1811","4","1801","7","3717","4","6665","3","2016","6","1726","2","3330","4","1210","1","2142","2","82596","2","545","3","1032","1","2120"
"NRw1G04Oj8B","7BGza4nL","2026-04-27 22:54:52","2026-04-27 22:58:08","196","数据集市","ABJV7z","数字游戏产品评价研究","211.140.143.37","119.6317239","29.0622904","浙江省","金华市","MOBILE","iOS","Apple WebKit","430px*932px","块 3","1","1000","5","10914","","","1","1000","","","7","35689","7","5953","7","6414","4","10791","4","4030","5","5576","2","3805","6","3787","5","5757","4","2317","3","12849","2","4683","2","10382","1","5576","6","19668","5","3491","5","5384","5","601","7","2084","7","1469","7","1767","5","10866","5","5868","1","4169","2","4035","2","766","3","1646","3","3400"
"XOngJ0r8188","MJnXqRdM","2026-04-27 22:55:36","2026-04-27 22:58:01","145","数据集市","ABJV7z","数字游戏产品评价研究","111.181.13.18","114.4146520","30.3922430","湖北省","武汉市","MOBILE","Android","Chrome","360px*800px","块 4","1","1000","3","10224","","","","","1","1000","6","43400","3","9824","6","4747","7","1612","7","1247","7","1300","7","743","7","1616","5","7696","6","540","5","1721","5","2531","5","447","5","1428","30","10411","6","2514","6","656","6","1042","6","2988","5","1938","5","3378","6","2118","6","1273","1","2440","2","1573","2","500","3","1810","3","21946"
"WPdq5DKN2b0","M6BJlp8M","2026-04-27 22:54:02","2026-04-27 22:58:00","238","数据集市","ABJV7z","数字游戏产品评价研究","117.57.50.100","117.8034830","30.9230910","安徽省","铜陵市","MOBILE","Android","Chrome","320px*704px","块 4","1","1000","3","16987","","","","","1","1000","7","62486","5","12062","6","8046","6","7848","5","6095","6","11318","4","8249","6","4552","5","4423","5","4531","5","6319","6","4286","5","4845","5","6148","68","12606","6","7496","7","3484","7","3343","6","5232","6","4400","6","3021","5","7840","5","2939","1","2925","1","3212","6","2624","3","2100","2","6847"
"bNpO9z1G86R","LVJvY9aL","2026-04-27 22:55:42","2026-04-27 22:57:54","132","数据集市","ABJV7z","数字游戏产品评价研究","175.167.143.251","123.4079920","41.9013540","辽宁省","沈阳市","MOBILE","Android","Chrome","360px*804px","块 2","1","1000","3","6118","1","1000","","","","","3","76044","3","1724","3","2843","5","2888","6","1837","6","911","7","1907","7","644","6","1257","7","1202","6","1690","6","1332","7","858","6","2079","50","3120","6","2425","7","1252","7","1049","6","1372","5","1662","6","987","6","1466","5","3824","1","1183","2","1711","3","1413","4","2177","4","3967"
"mnZ30kOxA94","KLOpNgAe","2026-04-27 22:53:25","2026-04-27 22:57:52","267","数据集市","ABJV7z","数字游戏产品评价研究","39.144.39.77","121.4501400","31.3245590","上海市","市辖区","MOBILE","Android","Chrome","360px*800px","块 4","1","1000","4","9613","","","","","1","1000","7","30140","2","125236","5","3047","7","27140","5","3048","6","2195","5","3133","7","4256","6","3548","5","1296","7","5209","6","2112","7","6612","5","2482","88","5759","6","1105","7","1516","5","978","6","1903","7","1351","5","1098","7","1468","6","1169","1","1638","2","8178","5","1983","3","1380","4","8100"
"XOngJOnQg5j","MgEEGngL","2026-04-27 22:55:43","2026-04-27 22:57:42","119","数据集市","ABJV7z","数字游戏产品评价研究","223.74.105.223","113.9260805","22.7881479","广东省","深圳市","MOBILE","iOS","Apple WebKit","428px*926px","块 3","1","1000","3","7936","","","1","1000","","","5","16035","4","3580","5","4565","5","2583","5","1753","6","2317","7","3068","5","2254","6","2982","6","2352","7","2072","7","1998","7","2921","7","3018","328","10809","7","3235","7","4515","7","3220","6","3003","6","3270","6","1718","7","2817","7","2253","1","2150","2","2386","4","2299","3","2085","4","11042"
"mnZ30n13oZ4","VMJ1zZke","2026-04-27 22:54:04","2026-04-27 22:57:35","211","数据集市","ABJV7z","数字游戏产品评价研究","180.139.63.187","108.4223124","22.7916050","广西壮族自治区","南宁市","MOBILE","iOS","Apple WebKit","430px*932px","块 4","1","1000","3","4035","","","","","1","1000","7","31339","5","27104","6","3754","5","11007","5","5618","6","2830","5","2752","6","4990","6","1980","5","7857","5","1501","6","1963","6","1714","5","14996","68","11176","6","8588","6","3163","5","1864","5","26545","6","1814","6","1902","5","2016","5","2404","1","1219","2","3417","3","967","3","5200","3","10072"
